uid,pid,ptm,pen,desc,cat,pey,act
62727,696990,ARI,KM-1950,Neutral Zone,4,1,A
62728,696992,ARI,CC-2500,Offensive Holding,2,10,A
62729,696994,CAR,CS-1150,Unnecessary Roughness,6,15,A
62730,697013,CAR,JN-1750,Defensive Holding,5,0,D
62731,697037,DEN,AT-0100,Taunting,6,15,A
62732,697045,CAR,TW-2250,Illegal Block Above the Waist,7,10,A
62733,697050,CAR,ED-0400,False Start,1,5,A
62734,697054,DEN,AT-0100,Face Mask,6,1,A
62735,697056,DEN,AT-0100,Defensive Offside,4,5,A
62736,697061,DEN,TD-0725,Ineligible Downfield Kick,3,5,A
62737,697070,DEN,LV-0100,Offensive Holding,2,10,A
62738,697074,DEN,MJ-0030,Unnecessary Roughness,6,15,A
62739,697090,CAR,MO-0200,False Start,1,5,A
62740,697102,CAR,TT-1850,Unnecessary Roughness,6,15,A
62741,697112,CAR,CJ-1300,Neutral Zone,4,5,A
62742,697127,CAR,TB-1850,Illegal Blindside Block,8,15,A
62743,697131,CAR,CN-0500,Delay of Game,3,5,A
62744,697136,CAR,TB-1850,Unsportsmanlike Conduct,6,15,A
62745,697144,CAR,MO-0200,False Start,1,5,A
62746,697153,CAR,MR-0645,False Start,1,5,A
62747,697166,CAR,JN-1750,Defensive Holding,5,2,A
62748,697180,CAR,JW-1500,Unnecessary Roughness,6,15,A
